name1,name2,date,case_day_minus_0,case_day_minus_1,case_day_minus_2,case_day_minus_3,case_day_minus_4,case_day_minus_5,case_day_minus_6,case_day_minus_7,case_day_minus_8,case_day_minus_9
Adygea_Republic__Russia,XXX,2020.03.16,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.15,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.14,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.13,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.12,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.11,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.10,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.09,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.08,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.07,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.06,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.05,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.04,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.03,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.02,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.03.01,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.29,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.28,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.27,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.26,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.25,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.24,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.23,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.22,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.21,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.20,0,0,0,0,0,0,0,0,0,0
Adygea_Republic__Russia,XXX,2020.02.19,0,0,0,0,0,0,0,0,0,0
